source_id,person_hash,timestamp,longitude,latitude,accuracy,speed,heading,source_type
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:04:25.690557+09:00,134.6899825,34.8370119,4.8,0.07,144,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:05:25.690557+09:00,134.6900872,34.8367688,4.8,0.30,284,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:06:25.690557+09:00,134.6901926,34.8368694,4.8,0.24,260,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:07:25.690557+09:00,134.6905554,34.8369945,4.8,0.14,122,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:08:25.690557+09:00,134.6902396,34.8369703,4.8,0.27,124,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:09:25.690557+09:00,134.6899629,34.8371185,4.8,0.21,72,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:10:25.690557+09:00,134.6900679,34.8369294,4.8,0.28,260,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:11:25.690557+09:00,134.6902588,34.8370506,4.8,0.30,10,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:12:25.690557+09:00,134.6900594,34.8369102,4.8,0.18,171,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:13:25.690557+09:00,134.6901506,34.8370046,4.8,0.24,261,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:14:25.690557+09:00,134.6904127,34.8372726,4.8,0.06,315,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:15:25.690557+09:00,134.6902084,34.8367760,4.8,0.10,196,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:16:25.690557+09:00,134.6900823,34.8369435,4.8,0.20,293,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:17:25.690557+09:00,134.6901468,34.8370806,4.8,0.05,184,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:18:25.690557+09:00,134.6899563,34.8368122,4.8,0.04,51,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:19:25.690557+09:00,134.6901474,34.8372001,4.8,0.16,174,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:20:25.690557+09:00,134.6898593,34.8370803,4.8,0.01,35,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:21:25.690557+09:00,134.6901945,34.8370296,4.8,0.10,350,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:22:25.690557+09:00,134.6901521,34.8369754,4.8,0.24,183,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:23:25.690557+09:00,134.6903460,34.8372307,4.8,0.28,321,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:24:25.690557+09:00,134.6903730,34.8368716,4.8,0.09,242,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:25:25.690557+09:00,134.6902510,34.8369670,4.8,0.23,338,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:26:25.690557+09:00,134.6900802,34.8370387,4.8,0.14,269,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:27:25.690557+09:00,134.6904126,34.8371296,4.8,0.07,254,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:28:25.690557+09:00,134.6901944,34.8368776,4.8,0.03,132,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:29:25.690557+09:00,134.6903187,34.8369741,4.8,0.16,106,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:30:25.690557+09:00,134.6901599,34.8370812,4.8,0.26,30,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:31:25.690557+09:00,134.6905827,34.8370738,4.8,0.25,306,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:32:25.690557+09:00,134.6898526,34.8368545,4.8,0.15,178,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:33:25.690557+09:00,134.6902904,34.8370383,4.8,0.27,97,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:34:25.690557+09:00,134.6902324,34.8369926,4.8,0.07,95,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:34:36.346493+09:00,134.6901916,34.8370252,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:35:36.346493+09:00,134.6904273,34.8363698,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:36:36.346493+09:00,134.6906490,34.8357176,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:37:36.346493+09:00,134.6909182,34.8350789,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:38:36.346493+09:00,134.6911201,34.8343656,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:39:36.346493+09:00,134.6914026,34.8337357,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:40:36.346493+09:00,134.6916100,34.8330342,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:41:36.346493+09:00,134.6918613,34.8323591,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:42:36.346493+09:00,134.6921174,34.8317258,4.8,1.27,163,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:43:29.536099+09:00,134.6926100,34.8312099,4.8,0.01,182,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:44:29.536099+09:00,134.6923181,34.8311355,4.8,0.20,234,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:45:29.536099+09:00,134.6920997,34.8314239,4.8,0.09,77,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:46:29.536099+09:00,134.6923960,34.8313496,4.8,0.04,356,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:47:29.536099+09:00,134.6922843,34.8313664,4.8,0.26,155,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:48:29.536099+09:00,134.6924207,34.8310263,4.8,0.29,216,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:49:29.536099+09:00,134.6922889,34.8311590,4.8,0.00,131,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:50:29.536099+09:00,134.6927409,34.8311387,4.8,0.26,78,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:51:29.536099+09:00,134.6924626,34.8312431,4.8,0.20,89,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:52:29.536099+09:00,134.6922324,34.8311681,4.8,0.18,142,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:53:29.536099+09:00,134.6925703,34.8314707,4.8,0.26,56,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:54:29.536099+09:00,134.6921116,34.8309507,4.8,0.22,178,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:55:29.536099+09:00,134.6925781,34.8312716,4.8,0.21,185,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:56:29.536099+09:00,134.6924242,34.8308507,4.8,0.23,205,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:57:29.536099+09:00,134.6922457,34.8310466,4.8,0.21,344,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:58:29.536099+09:00,134.6922721,34.8313265,4.8,0.29,136,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T10:59:29.536099+09:00,134.6923363,34.8313045,4.8,0.07,95,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:00:29.536099+09:00,134.6923100,34.8314101,4.8,0.03,189,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:01:29.536099+09:00,134.6920829,34.8312459,4.8,0.07,272,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:02:29.536099+09:00,134.6925652,34.8308910,4.8,0.02,328,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:03:29.536099+09:00,134.6923529,34.8310666,4.8,0.18,119,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:04:29.536099+09:00,134.6921012,34.8311040,4.8,0.14,175,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:05:29.536099+09:00,134.6923336,34.8311420,4.8,0.21,103,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:06:29.536099+09:00,134.6923747,34.8312999,4.8,0.09,31,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:07:29.536099+09:00,134.6923540,34.8312528,4.8,0.30,358,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:08:29.536099+09:00,134.6925508,34.8311936,4.8,0.03,269,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:09:29.536099+09:00,134.6924484,34.8309770,4.8,0.08,41,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:10:29.536099+09:00,134.6924423,34.8312341,4.8,0.05,342,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:11:29.536099+09:00,134.6921372,34.8311171,4.8,0.11,44,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:12:29.536099+09:00,134.6924660,34.8311104,4.8,0.28,70,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:13:29.536099+09:00,134.6923460,34.8311898,4.8,0.12,313,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:14:01.933961+09:00,134.6925479,34.8317387,4.8,1.27,104,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:15:01.933961+09:00,134.6932767,34.8315713,4.8,1.27,104,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:16:01.933961+09:00,134.6941454,34.8313918,4.8,1.27,104,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:17:01.933961+09:00,134.6949148,34.8312854,4.8,1.27,94,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:18:01.933961+09:00,134.6958335,34.8311800,4.8,1.27,94,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:19:01.933961+09:00,134.6966160,34.8311496,4.8,1.27,94,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:20:01.933961+09:00,134.6969154,34.8315600,4.8,1.27,6,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:21:01.933961+09:00,134.6967640,34.8320788,4.8,1.27,283,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:22:01.933961+09:00,134.6959223,34.8322482,4.8,1.27,283,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:23:01.933961+09:00,134.6951131,34.8323825,4.8,1.27,283,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:24:01.933961+09:00,134.6948637,34.8328295,4.8,1.27,17,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:25:01.933961+09:00,134.6950550,34.8334652,4.8,1.27,15,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:26:01.933961+09:00,134.6952681,34.8341567,4.8,1.27,15,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:27:01.933961+09:00,134.6954104,34.8348163,4.8,1.27,320,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:28:01.933961+09:00,134.6948245,34.8350749,4.8,1.27,283,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:29:01.933961+09:00,134.6940547,34.8352152,4.8,1.27,283,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:30:01.933961+09:00,134.6932468,34.8353894,4.8,1.27,279,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:31:01.933961+09:00,134.6924313,34.8356324,4.8,1.27,318,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:32:01.933961+09:00,134.6930201,34.8359011,4.8,1.27,359,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:32:21.585480+09:00,134.6936762,34.8371575,4.8,0.25,180,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:33:21.585480+09:00,134.6935120,34.8369588,4.8,0.66,154,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:34:21.585480+09:00,134.6936389,34.8371101,4.8,0.39,133,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:35:21.585480+09:00,134.6935714,34.8372380,4.8,0.43,269,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:36:21.585480+09:00,134.6936863,34.8370433,4.8,0.54,130,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:37:21.585480+09:00,134.6934595,34.8370727,4.8,0.26,323,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:38:21.585480+09:00,134.6937263,34.8370113,4.8,0.24,348,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:39:21.585480+09:00,134.6936517,34.8371086,4.8,0.29,176,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:40:21.585480+09:00,134.6937086,34.8371352,4.8,0.14,162,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:41:21.585480+09:00,134.6936298,34.8371510,4.8,0.03,297,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:42:21.585480+09:00,134.6934648,34.8370963,4.8,0.23,0,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:43:21.585480+09:00,134.6937236,34.8371406,4.8,0.29,226,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:44:21.585480+09:00,134.6936045,34.8370612,4.8,0.09,340,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:45:21.585480+09:00,134.6936955,34.8370497,4.8,0.16,359,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:46:21.585480+09:00,134.6936916,34.8371030,4.8,0.16,197,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:47:21.585480+09:00,134.6936424,34.8370324,4.8,0.06,319,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:48:10.313969+09:00,134.6929680,34.8381391,4.8,0.42,177,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:49:10.313969+09:00,134.6928324,34.8380831,4.8,0.20,105,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:50:10.313969+09:00,134.6929431,34.8380603,4.8,0.66,70,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:51:10.313969+09:00,134.6929870,34.8381908,4.8,0.57,220,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:52:10.313969+09:00,134.6928953,34.8381680,4.8,0.56,332,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:53:10.313969+09:00,134.6929689,34.8380276,4.8,0.63,66,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:54:10.313969+09:00,134.6930313,34.8381351,4.8,0.02,60,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:55:10.313969+09:00,134.6930904,34.8380908,4.8,0.09,261,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:56:10.313969+09:00,134.6927660,34.8380651,4.8,0.02,29,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:57:10.313969+09:00,134.6930473,34.8380101,4.8,0.11,277,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:58:10.313969+09:00,134.6931455,34.8382156,4.8,0.06,195,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T11:59:10.313969+09:00,134.6929722,34.8381152,4.8,0.19,89,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:00:10.313969+09:00,134.6929340,34.8380828,4.8,0.24,22,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:01:10.313969+09:00,134.6929907,34.8381182,4.8,0.10,343,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:02:10.313969+09:00,134.6929599,34.8380440,4.8,0.09,260,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:03:10.313969+09:00,134.6928837,34.8381573,4.8,0.25,39,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:03:59.042458+09:00,134.6912785,34.8386332,4.8,0.75,293,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:04:59.042458+09:00,134.6915425,34.8388078,4.8,0.38,249,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:05:59.042458+09:00,134.6914871,34.8386326,4.8,0.67,214,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:06:59.042458+09:00,134.6914589,34.8386269,4.8,0.59,173,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:07:59.042458+09:00,134.6914318,34.8385574,4.8,0.24,225,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:08:59.042458+09:00,134.6915496,34.8387864,4.8,0.30,48,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:09:59.042458+09:00,134.6915217,34.8386015,4.8,0.23,273,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:10:59.042458+09:00,134.6913929,34.8385662,4.8,0.08,94,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:11:59.042458+09:00,134.6914864,34.8386103,4.8,0.27,68,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:12:59.042458+09:00,134.6915029,34.8385861,4.8,0.19,36,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:13:59.042458+09:00,134.6914511,34.8387080,4.8,0.07,161,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:14:59.042458+09:00,134.6915802,34.8385951,4.8,0.18,298,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:15:59.042458+09:00,134.6914754,34.8385433,4.8,0.18,279,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:16:59.042458+09:00,134.6914041,34.8385122,4.8,0.10,13,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:17:59.042458+09:00,134.6914664,34.8386258,4.8,0.22,329,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:18:59.042458+09:00,134.6913093,34.8385560,4.8,0.19,28,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:19:47.770947+09:00,134.6938800,34.8394171,4.8,0.68,239,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:20:47.770947+09:00,134.6939418,34.8394307,4.8,0.36,356,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:21:47.770947+09:00,134.6937669,34.8396729,4.8,0.73,149,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:22:47.770947+09:00,134.6938374,34.8395577,4.8,0.43,146,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:23:47.770947+09:00,134.6938212,34.8394938,4.8,0.25,208,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:24:47.770947+09:00,134.6939999,34.8394915,4.8,0.29,290,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:25:47.770947+09:00,134.6939020,34.8396072,4.8,0.05,125,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:26:47.770947+09:00,134.6939084,34.8395652,4.8,0.23,285,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:27:47.770947+09:00,134.6937754,34.8394811,4.8,0.27,113,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:28:47.770947+09:00,134.6937956,34.8395645,4.8,0.21,321,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:29:47.770947+09:00,134.6936937,34.8394158,4.8,0.06,170,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:30:47.770947+09:00,134.6938360,34.8395726,4.8,0.11,54,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:31:47.770947+09:00,134.6938738,34.8395375,4.8,0.25,242,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:32:47.770947+09:00,134.6938032,34.8394215,4.8,0.25,280,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:33:47.770947+09:00,134.6938177,34.8394951,4.8,0.11,181,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:34:47.770947+09:00,134.6938561,34.8395921,4.8,0.13,223,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:35:36.499436+09:00,134.6931456,34.8391402,4.8,0.24,129,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:36:36.499436+09:00,134.6935060,34.8390167,4.8,0.22,47,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:37:36.499436+09:00,134.6933043,34.8391035,4.8,0.65,322,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:38:36.499436+09:00,134.6932041,34.8391743,4.8,0.57,249,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:39:36.499436+09:00,134.6933821,34.8391748,4.8,0.69,286,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:40:36.499436+09:00,134.6932477,34.8391497,4.8,0.57,91,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:41:36.499436+09:00,134.6934511,34.8391694,4.8,0.08,347,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:42:36.499436+09:00,134.6933612,34.8390670,4.8,0.11,72,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:43:36.499436+09:00,134.6934537,34.8391175,4.8,0.11,285,synthetic
synthetic-v1,6ebb0d37c0edcd05,2026-10-04T12:44:36.499436+09:00,134.6935243,34.8392356,4.8,0.29,163,synthetic
